Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
134,0.0350,0.0246,0.2204,0.0573,0.2777,0.5399,-0.0145
135,0.0375,0.0223,0.2585,0.0612,0.3196,0.5894,-0.0205
136,0.0387,0.0209,0.1941,0.0712,0.2653,0.5596,-0.0193
137,0.0423,0.0255,0.2389,0.0935,0.3324,0.5407,-0.0085
138,0.0387,0.0222,0.2636,0.0953,0.3589,0.5917,-0.0169
139,0.0363,0.0247,0.2321,0.0805,0.3125,0.5285,-0.0157
140,0.0423,0.0253,0.2630,0.0592,0.3222,0.6001,-0.0133
141,0.0387,0.0227,0.2164,0.0962,0.3125,0.4873,-0.0109
142,0.0447,0.0240,0.2469,0.0928,0.3396,0.5608,-0.0193
143,0.0375,0.0198,0.1807,0.0946,0.2753,0.5219,-0.0157
144,0.0411,0.0239,0.2162,0.0744,0.2906,0.5393,-0.0133
145,0.0399,0.0208,0.2724,0.0322,0.3047,0.6397,-0.0157
146,0.0423,0.0237,0.2484,0.0780,0.3265,0.5980,-0.0169
147,0.0447,0.0217,0.2474,0.0622,0.3096,0.5689,-0.0097
148,0.0411,0.0186,0.2190,0.0918,0.3109,0.5152,-0.0157
149,0.0363,0.0223,0.1873,0.1241,0.3114,0.4295,-0.0169
150,0.0399,0.0231,0.2631,0.0624,0.3254,0.6623,-0.0169
151,0.0435,0.0241,0.2642,0.0621,0.3264,0.5887,-0.0157
152,0.0435,0.0249,0.2464,0.0689,0.3153,0.5750,-0.0181
153,0.0423,0.0254,0.2323,0.0799,0.3122,0.5132,-0.0181
154,0.0435,0.0273,0.2169,0.0786,0.2955,0.5395,-0.0145
155,0.0423,0.0249,0.2411,0.0942,0.3353,0.5488,-0.0121
156,0.0495,0.0258,0.2733,0.0621,0.3354,0.6418,-0.0036
157,0.0435,0.0234,0.2930,0.0627,0.3558,0.5422,-0.0145
158,0.0447,0.0269,0.2602,0.0778,0.3380,0.5947,-0.0169
159,0.0447,0.0272,0.2378,0.1041,0.3418,0.5873,-0.0145
160,0.0447,0.0236,0.2777,0.0628,0.3405,0.6431,-0.0145
161,0.0447,0.0249,0.2631,0.0472,0.3103,0.6784,-0.0193
162,0.0459,0.0282,0.2461,0.0643,0.3105,0.5983,-0.0157
163,0.0435,0.0273,0.2325,0.1084,0.3409,0.5479,-0.0193
164,0.0495,0.0278,0.1855,0.1086,0.2942,0.5559,-0.0036
165,0.0423,0.0271,0.2516,0.0567,0.3082,0.6281,-0.0169
166,0.0459,0.0278,0.2667,0.0628,0.3294,0.6154,-0.0121
167,0.0447,0.0262,0.2646,0.0612,0.3259,0.6397,-0.0073
168,0.0387,0.0227,0.1891,0.1254,0.3145,0.4570,-0.0060
169,0.0471,0.0249,0.1877,0.0612,0.2489,0.5632,-0.0169
170,0.0495,0.0251,0.2494,0.0633,0.3126,0.6095,-0.0036
171,0.0483,0.0243,0.2629,0.0637,0.3266,0.6014,-0.0169
172,0.0459,0.0251,0.1967,0.0621,0.2588,0.5741,-0.0145
173,0.0459,0.0271,0.2751,0.0667,0.3418,0.6418,-0.0157
174,0.0447,0.0281,0.1866,0.0626,0.2491,0.5618,-0.0085
175,0.0471,0.0258,0.2615,0.0780,0.3395,0.6196,-0.0097
176,0.0459,0.0289,0.2802,0.0348,0.3150,0.6712,-0.0109
177,0.0483,0.0269,0.2346,0.0897,0.3243,0.5873,-0.0205
178,0.0459,0.0320,0.2405,0.1029,0.3433,0.5758,-0.0109
179,0.0495,0.0298,0.2634,0.0929,0.3563,0.5746,-0.0109
180,0.0447,0.0257,0.3261,0.0620,0.3882,0.6412,-0.0121
181,0.0471,0.0304,0.2365,0.1035,0.3400,0.5204,-0.0060
182,0.0471,0.0276,0.2489,0.0623,0.3112,0.6205,-0.0085
183,0.0471,0.0268,0.2292,0.0986,0.3278,0.5359,-0.0060
184,0.0483,0.0239,0.2886,0.0605,0.3491,0.6061,-0.0133
185,0.0423,0.0273,0.2718,0.0931,0.3649,0.5674,-0.0169
186,0.0520,0.0322,0.3391,0.0607,0.3998,0.6883,-0.0085
187,0.0508,0.0274,0.2790,0.0616,0.3406,0.6653,-0.0121
188,0.0495,0.0316,0.2638,0.0782,0.3420,0.6386,-0.0157
189,0.0495,0.0253,0.2135,0.0629,0.2765,0.6253,-0.0181
190,0.0459,0.0282,0.2938,0.0300,0.3238,0.7042,-0.0193
191,0.0544,0.0324,0.2463,0.0955,0.3418,0.5966,-0.0073
192,0.0447,0.0280,0.2335,0.1036,0.3370,0.5179,-0.0169
193,0.0495,0.0295,0.2601,0.0782,0.3383,0.5944,-0.0060
194,0.0483,0.0305,0.2489,0.0610,0.3100,0.6232,-0.0145
195,0.0508,0.0292,0.2934,0.0613,0.3548,0.6608,-0.0169
196,0.0568,0.0261,0.3423,0.0294,0.3717,0.7181,-0.0145
197,0.0471,0.0302,0.2641,0.0459,0.3099,0.6682,-0.0085
198,0.0483,0.0296,0.2624,0.0608,0.3232,0.6116,-0.0085
199,0.0471,0.0286,0.2318,0.0785,0.3103,0.6706,-0.0157
200,0.0483,0.0267,0.2750,0.0311,0.3061,0.6460,-0.0133
201,0.0483,0.0297,0.2769,0.0548,0.3317,0.6530,-0.0097
202,0.0435,0.0296,0.2494,0.0613,0.3107,0.5978,-0.0121
203,0.0459,0.0272,0.2180,0.0658,0.2837,0.5980,-0.0145
204,0.0447,0.0305,0.3408,0.0629,0.4037,0.7004,-0.0157
205,0.0495,0.0271,0.2490,0.0610,0.3100,0.5978,-0.0121
206,0.0495,0.0270,0.2158,0.0813,0.2971,0.5386,-0.0145
207,0.0459,0.0344,0.2481,0.0921,0.3402,0.6173,-0.0145
208,0.0495,0.0289,0.2895,0.0305,0.3200,0.6949,-0.0073
209,0.0495,0.0310,0.2487,0.0937,0.3423,0.5522,-0.0133
210,0.0447,0.0309,0.2773,0.0925,0.3699,0.6173,-0.0181
211,0.0520,0.0316,0.2503,0.0613,0.3116,0.6395,-0.0121
212,0.0495,0.0312,0.3121,0.0608,0.3729,0.6160,-0.0060
213,0.0520,0.0290,0.2496,0.0942,0.3438,0.6016,-0.0145
214,0.0508,0.0320,0.2328,0.0622,0.2950,0.6716,-0.0121
215,0.0495,0.0278,0.2505,0.0940,0.3444,0.5870,-0.0157
