Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
110,0.1776,0.1683,0.2229,0.0820,0.3049,1.9797,-0.0846
111,0.1825,0.1675,0.2523,0.0631,0.3154,2.2302,-0.0483
112,0.1801,0.1689,0.2250,0.0785,0.3036,2.0450,-0.1547
113,0.1861,0.1447,0.2238,0.0800,0.3038,2.0613,-0.1414
114,0.1849,0.1587,0.2469,0.0801,0.3270,2.1363,-0.1269
115,0.1921,0.1654,0.2400,0.0800,0.3199,2.0897,-0.1414
116,0.1776,0.1609,0.2411,0.0645,0.3056,2.3052,-0.1088
117,0.1740,0.1619,0.2238,0.0637,0.2875,2.0708,-0.1378
118,0.1740,0.1708,0.2267,0.0919,0.3185,1.9939,-0.1063
119,0.1897,0.1557,0.2369,0.0668,0.3037,2.2288,-0.1221
120,0.1813,0.1457,0.2239,0.0805,0.3043,2.0447,-0.1088
121,0.1813,0.1672,0.2506,0.0768,0.3274,2.1549,-0.1221
122,0.1885,0.1680,0.2404,0.0636,0.3040,2.2381,-0.1414
123,0.1897,0.1670,0.2336,0.0629,0.2965,2.1574,-0.1511
124,0.1813,0.1653,0.2424,0.0614,0.3038,2.2678,-0.1378
125,0.1873,0.1691,0.2209,0.0645,0.2855,2.0769,-0.1112
126,0.1837,0.1521,0.2404,0.0637,0.3041,2.1426,-0.1498
127,0.1885,0.1555,0.2056,0.0794,0.2850,1.8726,-0.1353
128,0.2006,0.1675,0.2357,0.0643,0.3000,2.2796,-0.1559
129,0.1813,0.1551,0.2238,0.0645,0.2883,2.1249,-0.1402
130,0.1921,0.1606,0.2234,0.0755,0.2989,2.1196,-0.1378
131,0.1873,0.1758,0.2447,0.0640,0.3087,2.3855,-0.1438
132,0.1934,0.1678,0.2242,0.1017,0.3259,1.9952,-0.1390
133,0.1885,0.1693,0.2237,0.0794,0.3031,2.1509,-0.1523
134,0.1909,0.1638,0.2267,0.0626,0.2893,2.2195,-0.0894
135,0.1837,0.1626,0.2238,0.0639,0.2877,2.1681,-0.1015
