Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
379,0.0163,0.0647,25.6932,NaN,NaN,3.0707,0.0000
380,0.0163,0.0649,0.2497,NaN,NaN,0.0232,0.0000
381,0.0164,0.0651,26.7975,NaN,NaN,2.9271,0.0000
382,0.0164,0.0652,0.5580,NaN,NaN,0.0846,0.0000
383,0.0164,0.0653,0.6222,NaN,NaN,0.0920,0.0000
384,0.0164,0.0654,0.6236,NaN,NaN,0.0861,0.0000
385,0.0165,0.0655,0.3741,NaN,NaN,0.0438,0.0000
386,0.0165,0.0656,0.6222,NaN,NaN,0.0871,0.0000
387,0.0165,0.0656,0.3088,NaN,NaN,0.0342,0.0000
388,0.0165,0.0657,0.4988,NaN,NaN,0.0724,0.0000
389,0.0165,0.0658,29.3815,NaN,NaN,2.3264,0.0000
390,0.0166,0.0658,22.7294,NaN,NaN,3.7531,0.0000
391,0.0166,0.0659,41.1523,NaN,NaN,0.0501,0.0000
392,0.0166,0.0659,41.5633,NaN,NaN,0.0500,0.0000
393,0.0166,0.0659,36.3454,NaN,NaN,0.9358,0.0000
394,0.0166,0.0660,0.4934,NaN,NaN,0.0717,0.0000
395,0.0166,0.0659,32.1096,NaN,NaN,1.7961,0.0000
396,0.0166,0.0660,38.4018,NaN,NaN,0.5262,0.0000
397,0.0166,0.0660,40.8845,NaN,NaN,0.0502,0.0000
398,0.0166,0.0659,0.6234,NaN,NaN,0.0883,0.0000
399,0.0166,0.0659,0.3719,NaN,NaN,0.0409,0.0000
400,0.0166,0.0659,41.2851,NaN,NaN,0.0500,0.0000
401,0.0166,0.0659,3.0479,NaN,NaN,0.5773,0.0000
402,0.0166,0.0659,0.6184,NaN,NaN,0.0956,0.0000
403,0.0166,0.0659,0.1849,NaN,NaN,0.0120,0.0000
404,0.0166,0.0659,0.4934,NaN,NaN,0.0714,0.0000
405,0.0166,0.0659,41.2918,NaN,NaN,0.0500,0.0000
406,0.0166,0.0659,41.0850,NaN,NaN,0.0500,0.0000
407,0.0166,0.0659,0.5581,NaN,NaN,0.0796,0.0000
408,0.0166,0.0659,0.3716,NaN,NaN,0.0466,0.0000
409,0.0166,0.0659,28.4323,NaN,NaN,2.6403,0.0000
410,0.0166,0.0659,0.7495,NaN,NaN,0.1134,0.0000
411,0.0166,0.0659,39.7399,NaN,NaN,0.3655,0.0000
412,0.0166,0.0659,0.6226,NaN,NaN,0.0878,0.0000
413,0.0166,0.0659,0.4368,NaN,NaN,0.0544,0.0000
414,0.0165,0.0659,0.4358,NaN,NaN,0.0569,0.0000
415,0.0166,0.0658,29.1809,NaN,NaN,2.3727,0.0000
416,0.0166,0.0659,0.5629,NaN,NaN,0.0856,0.0000
417,0.0166,0.0659,40.9414,NaN,NaN,0.0501,0.0000
418,0.0166,0.0659,0.4969,NaN,NaN,0.0712,0.0000
419,0.0166,0.0659,0.3110,NaN,NaN,0.0272,0.0000
420,0.0166,0.0659,0.1839,NaN,NaN,0.0122,0.0000
421,0.0166,0.0659,0.3098,NaN,NaN,0.0251,0.0000
422,0.0166,0.0659,0.4354,NaN,NaN,0.0474,0.0000
423,0.0166,0.0658,0.3731,NaN,NaN,0.0474,0.0000
424,0.0166,0.0658,0.6235,NaN,NaN,0.0867,0.0000
425,0.0166,0.0658,34.2321,NaN,NaN,1.3671,0.0000
426,0.0166,0.0659,2.2475,NaN,NaN,0.4119,0.0000
427,0.0166,0.0659,0.3711,NaN,NaN,0.0371,0.0000
428,0.0166,0.0658,41.3143,NaN,NaN,0.0500,0.0000
