Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
399,0.4013,0.2514,0.8661,6.7558,7.6220,0.2457,-1.0624
400,0.5151,0.2615,0.7139,6.8124,7.5263,0.1681,-1.0330
401,0.3141,0.2250,0.7156,7.0078,7.7234,0.1669,-1.1021
402,0.6783,0.2762,0.8367,6.7498,7.5865,0.2342,-1.1264
403,0.5437,0.2436,0.7730,6.9714,7.7444,0.2028,-1.0934
404,0.2281,0.2202,0.7086,6.9941,7.7027,0.1602,-1.1389
405,0.6213,0.2596,0.8065,7.0126,7.8191,0.2139,-1.0752
406,0.2562,0.2202,0.7072,7.0311,7.7383,0.1383,-1.1333
407,0.6548,0.2722,0.8687,6.7232,7.5918,0.2502,-1.1197
408,0.5984,0.2594,0.8121,7.0029,7.8150,0.2203,-1.0893
409,0.2689,0.2351,0.6504,7.0043,7.6548,0.1400,-1.1197
410,0.6834,0.2811,0.8394,6.9829,7.8223,0.2309,-1.0766
411,0.4715,0.2411,0.7726,7.0165,7.7891,0.1988,-1.0557
412,0.6266,0.2615,0.7940,7.0684,7.8625,0.2070,-1.1017
413,0.4108,0.2579,0.5918,7.0203,7.6121,0.1119,-1.1554
414,0.4999,0.2657,0.8746,6.7566,7.6312,0.2606,-1.1351
415,0.5854,0.2668,0.7425,7.0088,7.7513,0.1880,-1.0954
416,0.3305,0.2317,0.6830,6.9816,7.6645,0.1542,-1.1200
417,0.5446,0.2706,0.8349,7.0038,7.8387,0.2277,-1.0999
418,0.5685,0.2564,0.7473,6.9806,7.7279,0.1896,-1.0722
419,0.3278,0.2315,0.7127,6.9931,7.7058,0.1678,-1.1219
420,0.2824,0.2371,0.6514,7.0001,7.6515,0.1416,-1.1145
421,0.2594,0.2258,0.7155,7.0092,7.7246,0.1616,-0.9977
422,0.3039,0.2440,0.6205,7.2484,7.8689,0.1331,-1.1258
423,0.6329,0.2792,0.8342,7.0180,7.8522,0.2266,-1.0957
424,0.4049,0.2419,0.7157,7.2597,7.9754,0.1738,-1.1279
425,0.6075,0.2767,0.8358,6.9988,7.8347,0.2317,-1.0886
426,0.2346,0.2293,0.7148,7.2245,7.9393,0.1632,-1.1302
427,0.4559,0.2518,0.7440,7.0688,7.8128,0.1827,-1.0426
428,0.2365,0.2329,0.6522,7.2262,7.8784,0.1466,-1.1434
429,0.6694,0.2847,0.8675,6.9678,7.8353,0.2447,-1.1024
430,0.5946,0.2676,0.7804,6.9797,7.7601,0.2107,-1.1146
431,0.3425,0.2417,0.7151,7.2248,7.9399,0.1693,-1.1386
432,0.5942,0.2712,0.7800,6.9931,7.7730,0.2004,-1.0942
433,0.5125,0.2716,0.8525,6.9853,7.8378,0.2535,-1.1175
434,0.2796,0.2365,0.7112,7.2551,7.9664,0.1669,-1.1112
435,0.6068,0.2880,0.8081,7.0268,7.8349,0.2318,-1.1244
436,0.5894,0.2687,0.7382,7.3105,8.0487,0.1873,-1.0410
437,0.2684,0.2404,0.6505,7.2902,7.9407,0.1368,-1.1373
438,0.6742,0.2777,0.7763,7.0299,7.8062,0.2046,-1.1009
439,0.2734,0.2405,0.6525,7.2249,7.8773,0.1454,-1.1327
440,0.6378,0.3030,0.8192,7.0327,7.8519,0.2306,-1.8022
