Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
255,0.3106,0.2086,0.3877,0.0936,0.4813,2.5458,-0.0471
256,0.3674,0.2591,0.4506,0.0625,0.5131,2.9458,-0.0495
257,0.3456,0.2425,0.4193,0.0918,0.5111,2.8296,-0.0459
258,0.3577,0.2387,0.4051,0.1236,0.5288,2.6289,-0.0483
259,0.2731,0.2161,0.3562,0.1242,0.4805,2.4038,-0.0471
260,0.4012,0.3077,0.4465,0.1134,0.5599,2.8195,-0.0483
261,0.3069,0.2441,0.3258,0.1084,0.4342,2.4428,-0.0483
262,0.4205,0.3434,0.4425,0.0858,0.5282,2.8746,-0.0495
263,0.3504,0.2712,0.4334,0.0618,0.4952,2.8057,-0.0471
264,0.4362,0.3979,0.4422,0.0869,0.5292,3.0564,-0.0471
265,0.3057,0.2389,0.4026,0.0934,0.4960,2.6917,-0.0508
266,0.3130,0.2546,0.3734,0.0837,0.4571,2.6059,-0.0520
267,0.3915,0.2707,0.4509,0.0941,0.5450,2.9508,-0.0471
268,0.3311,0.2007,0.3857,0.0942,0.4799,2.5606,-0.0495
269,0.2792,0.2007,0.3869,0.1229,0.5098,2.4326,-0.0471
270,0.4447,0.3579,0.4690,0.0579,0.5269,3.2185,-0.0532
271,0.2997,0.2375,0.3618,0.1198,0.4817,2.5198,-0.0520
272,0.3178,0.2813,0.4224,0.0922,0.5146,2.8874,-0.0483
273,0.4737,0.3812,0.4354,0.1075,0.5429,3.0739,-0.0483
274,0.3734,0.3178,0.4015,0.0931,0.4946,2.9133,-0.0495
275,0.4266,0.3712,0.4309,0.1198,0.5507,2.9633,-0.0508
276,0.3287,0.2999,0.3858,0.1074,0.4932,2.6495,-0.0495
277,0.3190,0.2307,0.3726,0.1561,0.5286,2.5411,-0.0520
278,0.3964,0.3166,0.4172,0.0949,0.5121,3.0048,-0.0483
279,0.3033,0.2329,0.3432,0.1061,0.4493,2.4362,-0.0495
280,0.2997,0.2282,0.3717,0.1091,0.4808,2.5633,-0.0471
281,0.3287,0.2550,0.3550,0.1397,0.4947,2.4208,-0.0508
