Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
49,0.1595,0.1151,0.6630,0.2503,0.9134,1.8559,-0.0435
50,0.2417,0.1680,0.8072,0.2012,1.0084,2.2552,-0.0447
51,0.1970,0.1321,0.6559,0.2651,0.9211,1.8142,-0.0423
52,0.1921,0.1289,0.7119,0.2177,0.9295,1.9292,-0.0363
53,0.1825,0.1162,0.6688,0.2174,0.8862,1.8977,-0.0447
54,0.1752,0.1214,0.6551,0.2506,0.9057,1.8002,-0.0387
55,0.2224,0.1475,0.7239,0.2195,0.9434,2.0588,-0.0423
56,0.1958,0.1259,0.6825,0.2476,0.9301,1.9055,-0.0423
57,0.2054,0.1328,0.6144,0.2727,0.8871,1.8429,-0.0423
58,0.2006,0.1322,0.6808,0.2483,0.9292,1.8413,-0.0411
59,0.1994,0.1403,0.6987,0.2459,0.9446,1.9358,-0.0411
60,0.1970,0.1365,0.6049,0.2796,0.8845,1.7933,-0.0459
61,0.1994,0.1315,0.6798,0.2342,0.9140,1.9301,-0.0375
62,0.2006,0.1294,0.6688,0.2316,0.9005,1.8914,-0.0399
63,0.1934,0.1261,0.6673,0.2338,0.9011,1.8389,-0.0411
64,0.1970,0.1343,0.6982,0.2186,0.9168,1.9535,-0.0423
65,0.1861,0.1232,0.6729,0.2469,0.9198,1.8637,-0.0399
66,0.1921,0.1315,0.6666,0.2472,0.9137,1.8421,-0.0411
67,0.1861,0.1290,0.6672,0.2379,0.9051,1.8518,-0.0447
68,0.1970,0.1386,0.6312,0.2822,0.9134,1.7704,-0.0399
69,0.1946,0.1346,0.6403,0.2795,0.9197,1.8106,-0.0411
70,0.1994,0.1370,0.6681,0.2478,0.9160,1.8857,-0.0399
71,0.1958,0.1321,0.7005,0.2628,0.9633,1.8844,-0.0423
72,0.2054,0.1309,0.7164,0.2472,0.9636,1.9834,-0.0447
73,0.2163,0.1406,0.7158,0.2190,0.9348,1.9687,-0.0435
74,0.1885,0.1255,0.6649,0.2798,0.9447,1.8343,-0.0387
75,0.1934,0.1345,0.6951,0.2319,0.9270,1.9343,-0.0375
76,0.1885,0.1247,0.6966,0.2171,0.9137,1.9286,-0.0447
77,0.1789,0.1249,0.6800,0.2193,0.8993,1.8700,-0.0411
78,0.1946,0.1302,0.6674,0.2179,0.8853,1.8850,-0.0435
79,0.1946,0.1319,0.7014,0.2336,0.9350,1.9421,-0.0363
80,0.1909,0.1241,0.6502,0.2378,0.8880,1.8499,-0.0387
81,0.1946,0.1321,0.6931,0.2484,0.9415,1.8721,-0.0423
82,0.2006,0.1321,0.7316,0.2458,0.9774,1.8943,-0.0411
83,0.1849,0.1174,0.6338,0.2819,0.9157,1.7696,-0.0411
84,0.2187,0.1487,0.7173,0.2329,0.9502,2.0017,-0.0423
85,0.2066,0.1445,0.6942,0.2320,0.9261,1.9186,-0.0399
86,0.2115,0.1393,0.7135,0.2202,0.9337,1.9762,-0.0435
87,0.1958,0.1329,0.6719,0.2423,0.9142,1.8946,-0.0375
88,0.2066,0.1412,0.7020,0.2180,0.9200,1.9487,-0.0411
89,0.2211,0.1550,0.8302,0.1554,0.9856,2.3329,-0.0399
90,0.2598,0.1823,0.8222,0.1551,0.9773,2.2916,-0.0447
91,0.2066,0.1369,0.7056,0.2187,0.9244,1.9499,-0.0399
92,0.1946,0.1342,0.6814,0.2527,0.9342,1.8823,-0.0411
93,0.1789,0.1262,0.6643,0.2481,0.9124,1.8241,-0.0387
94,0.1873,0.1296,0.7130,0.1872,0.9002,2.0167,-0.0387
95,0.1970,0.1330,0.6696,0.2173,0.8869,1.8880,-0.0423
96,0.1934,0.1342,0.6953,0.2207,0.9160,1.9195,-0.0423
97,0.2066,0.1419,0.6976,0.2170,0.9147,1.9508,-0.0387
98,0.1946,0.1426,0.6556,0.2896,0.9452,1.7465,-0.0411
99,0.2115,0.1456,0.7152,0.2324,0.9476,1.9652,-0.0399
100,0.1921,0.1312,0.6687,0.2196,0.8883,1.8895,-0.0411
101,0.2163,0.1421,0.6994,0.1855,0.8848,2.0641,-0.0399
102,0.2066,0.1426,0.7119,0.2181,0.9299,1.9747,-0.0399
103,0.2139,0.1437,0.6967,0.2159,0.9126,1.9793,-0.0411
104,0.2211,0.1470,0.7368,0.1858,0.9226,2.0533,-0.0423
105,0.2199,0.1508,0.7261,0.1862,0.9123,2.0225,-0.0387
106,0.2236,0.1520,0.7484,0.2053,0.9536,2.0347,-0.0411
107,0.2272,0.1521,0.7597,0.1883,0.9480,2.1041,-0.0411
108,0.2248,0.1527,0.7464,0.1875,0.9338,2.1058,-0.0350
109,0.1970,0.1384,0.6983,0.2468,0.9451,1.8928,-0.0399
110,0.2127,0.1470,0.7168,0.2167,0.9335,1.9780,-0.0375
111,0.2151,0.1453,0.7000,0.2804,0.9804,1.8977,-0.0387
112,0.2320,0.1544,0.7293,0.2174,0.9467,2.0314,-0.0435
113,0.1982,0.1334,0.6743,0.2495,0.9238,1.8643,-0.0399
114,0.2163,0.1430,0.6974,0.2490,0.9464,1.9447,-0.0447
115,0.1921,0.1359,0.6847,0.2419,0.9266,1.8956,-0.0387
116,0.2369,0.1661,0.7730,0.2167,0.9897,2.1089,-0.0387
117,0.1982,0.1382,0.6957,0.2216,0.9173,1.9201,-0.0399
118,0.2175,0.1492,0.7283,0.2163,0.9447,2.0197,-0.0399
119,0.2030,0.1408,0.7013,0.2169,0.9182,1.9912,-0.0399
120,0.2103,0.1406,0.6999,0.2491,0.9489,1.9390,-0.0399
121,0.2284,0.1539,0.7878,0.1567,0.9446,2.1641,-0.0387
122,0.2079,0.1457,0.7127,0.2163,0.9290,1.9808,-0.0399
123,0.2030,0.1317,0.7008,0.2173,0.9182,1.9825,-0.0411
124,0.2465,0.1641,0.7392,0.2320,0.9711,2.0567,-0.0423
125,0.2139,0.1475,0.7239,0.1840,0.9079,2.0092,-0.0387
126,0.2465,0.1572,0.7602,0.1853,0.9454,2.1434,-0.0423
127,0.2175,0.1447,0.7292,0.2188,0.9480,2.0146,-0.0399
128,0.1982,0.1371,0.6870,0.2449,0.9319,1.9459,-0.0435
129,0.2066,0.1440,0.6826,0.2321,0.9147,1.8964,-0.0387
130,0.1921,0.1311,0.6803,0.1881,0.8684,1.9271,-0.0387
131,0.2151,0.1506,0.7138,0.2031,0.9169,2.0440,-0.0411
132,0.1897,0.1341,0.7149,0.1842,0.8991,1.9943,-0.0375
133,0.1994,0.1441,0.7010,0.2188,0.9198,1.9648,-0.0375
134,0.2091,0.1548,0.7051,0.2175,0.9226,1.9558,-0.0411
135,0.2151,0.1558,0.7354,0.1953,0.9307,2.0396,-0.0387
136,0.1813,0.1285,0.6833,0.2089,0.8922,1.9034,-0.0399
137,0.2066,0.1442,0.6950,0.2473,0.9424,1.9214,-0.0399
138,0.2320,0.1625,0.7288,0.2185,0.9473,1.9903,-0.0411
139,0.2369,0.1630,0.7431,0.2160,0.9591,2.0351,-0.0387
140,0.2066,0.1402,0.6519,0.2165,0.8683,1.9231,-0.0387
141,0.2115,0.1455,0.6837,0.2327,0.9164,1.9079,-0.0363
142,0.1958,0.1305,0.7153,0.1870,0.9023,2.0335,-0.0387
143,0.2091,0.1501,0.7114,0.2314,0.9428,2.0138,-0.0387
144,0.2224,0.1505,0.7262,0.2180,0.9442,2.0123,-0.0387
145,0.1873,0.1282,0.6713,0.2337,0.9050,1.8994,-0.0363
146,0.2381,0.1615,0.7147,0.2383,0.9530,1.9975,-0.0399
147,0.1837,0.1314,0.6982,0.1871,0.8853,1.9324,-0.0411
148,0.2272,0.1548,0.7405,0.2193,0.9598,2.0332,-0.0411
149,0.2272,0.1592,0.7277,0.2327,0.9604,2.0912,-0.0435
150,0.2224,0.1519,0.7117,0.2327,0.9444,2.0309,-0.0435
151,0.2465,0.1810,0.7997,0.1854,0.9851,2.2337,-0.0363
152,0.2115,0.1468,0.7142,0.2175,0.9318,1.9783,-0.0447
153,0.2405,0.1567,0.7445,0.2193,0.9638,2.0833,-0.0423
154,0.2260,0.1604,0.7423,0.2307,0.9731,2.0641,-0.0447
155,0.2308,0.1540,0.6742,0.2074,0.8816,2.0184,-0.0423
156,0.2429,0.1602,0.7166,0.2471,0.9637,2.0077,-0.0411
157,0.2417,0.1627,0.7474,0.1861,0.9334,2.1457,-0.0423
158,0.2187,0.1471,0.6828,0.2334,0.9162,1.9372,-0.0435
159,0.2405,0.1706,0.7396,0.2187,0.9584,2.0575,-0.0435
160,0.1982,0.1352,0.6993,0.2043,0.9035,1.9379,-0.0399
161,0.2332,0.1548,0.6990,0.2182,0.9172,1.9783,-0.0411
162,0.2006,0.1436,0.6797,0.2495,0.9291,1.8793,-0.0399
163,0.2296,0.1686,0.7135,0.2305,0.9440,1.9880,-0.0411
164,0.2163,0.1502,0.7588,0.1544,0.9132,2.1121,-0.0411
165,0.2054,0.1424,0.6987,0.1855,0.8842,1.9795,-0.0338
166,0.2224,0.1527,0.7705,0.1863,0.9568,2.1013,-0.0387
167,0.2369,0.1564,0.7587,0.1907,0.9495,2.1358,-0.0399
168,0.1958,0.1415,0.6825,0.2359,0.9183,1.9174,-0.0411
169,0.2139,0.1576,0.7145,0.2257,0.9402,1.9886,-0.0399
170,0.2369,0.1649,0.7251,0.2346,0.9597,2.0282,-0.0435
171,0.2127,0.1352,0.7300,0.1867,0.9167,2.0381,-0.0399
172,0.2248,0.1592,0.7590,0.1880,0.9470,2.1157,-0.0423
173,0.2211,0.1518,0.7292,0.2177,0.9469,2.0491,-0.0411
174,0.2163,0.1446,0.7283,0.2187,0.9470,2.0351,-0.0411
175,0.2489,0.1633,0.7570,0.1880,0.9450,2.1622,-0.0411
176,0.2139,0.1364,0.7280,0.2023,0.9302,2.0290,-0.0399
177,0.2018,0.1476,0.6705,0.2492,0.9198,1.8497,-0.0387
178,0.2006,0.1399,0.6653,0.2408,0.9061,1.8842,-0.0423
179,0.2344,0.1658,0.7312,0.2202,0.9513,2.0800,-0.0411
180,0.1861,0.1200,0.6684,0.1885,0.8569,1.8937,-0.0411
181,0.2103,0.1409,0.7104,0.2151,0.9255,1.9673,-0.0363
182,0.2163,0.1527,0.6896,0.2279,0.9175,1.9474,-0.0399
183,0.2018,0.1400,0.7295,0.2156,0.9451,2.0341,-0.0375
184,0.2332,0.1618,0.7264,0.1882,0.9146,2.0836,-0.0375
185,0.2175,0.1384,0.7282,0.2001,0.9283,2.0575,-0.0435
186,0.2042,0.1387,0.6815,0.2333,0.9148,1.9121,-0.0399
187,0.2079,0.1521,0.7072,0.2498,0.9569,1.9609,-0.0411
188,0.2175,0.1453,0.7288,0.1865,0.9153,2.0482,-0.0387
189,0.2199,0.1451,0.7078,0.2468,0.9546,1.9685,-0.0399
190,0.2127,0.1494,0.7466,0.2002,0.9468,2.0764,-0.0411
191,0.2018,0.1355,0.6692,0.2633,0.9326,1.8808,-0.0411
192,0.2344,0.1654,0.7104,0.2626,0.9730,1.9702,-0.0411
193,0.2526,0.1742,0.7138,0.2638,0.9776,2.0320,-0.0411
194,0.2127,0.1544,0.7113,0.2178,0.9291,1.9721,-0.0387
195,0.2115,0.1516,0.7458,0.2162,0.9620,2.0855,-0.0447
196,0.2187,0.1581,0.6869,0.2005,0.8874,2.0282,-0.0411
197,0.1994,0.1277,0.6679,0.2028,0.8707,1.8895,-0.0411
198,0.2622,0.1732,0.7731,0.1905,0.9637,2.1787,-0.0387
199,0.2296,0.1507,0.7282,0.1909,0.9191,2.0980,-0.0399
200,0.2127,0.1426,0.7165,0.2328,0.9492,1.9927,-0.0387
201,0.1861,0.1287,0.6199,0.2659,0.8858,1.7489,-0.0387
202,0.2127,0.1440,0.6497,0.2471,0.8968,1.8316,-0.0363
203,0.2284,0.1682,0.7222,0.2429,0.9651,2.0201,-0.0399
204,0.2127,0.1442,0.7295,0.1876,0.9171,2.0536,-0.0375
205,0.2417,0.1748,0.7738,0.1699,0.9437,2.1586,-0.0363
206,0.1958,0.1339,0.6679,0.2277,0.8956,1.8842,-0.0375
207,0.2272,0.1616,0.7452,0.2168,0.9620,2.0554,-0.0375
208,0.2816,0.1978,0.7804,0.2277,1.0081,2.2033,-0.0387
209,0.2598,0.1815,0.7608,0.1909,0.9517,2.1806,-0.0399
