Layer,Peak_Force_N,Work_of_Adhesion_mJ
292,1.7929,0.4958
293,2.3659,0.6776
294,2.1529,0.6068
295,2.3301,0.6605
296,0.9763,0.2729
297,0.5075,0.1792
298,0.9878,0.2744
299,1.1690,0.3123
300,1.7109,0.4734
301,2.3587,0.6859
302,2.4848,0.7315
303,2.6668,0.7869
304,0.8535,0.2294
305,0.5630,0.1877
306,1.4162,0.3576
307,0.4905,0.1858
308,1.5260,0.4522
309,0.5875,0.2081
310,1.2059,0.3581
311,1.1332,0.2988
312,5.7642,2.3488
313,1.6049,0.4809
314,3.2027,1.0125
315,5.8063,2.3295
316,5.9597,2.3453
317,1.3681,0.4283
318,1.6058,0.5329
319,1.8290,0.6134
320,1.5895,0.5723
321,1.8135,0.6240
322,2.3650,0.7804
323,0.8655,0.3229
324,1.1391,0.3576
325,7.0434,3.0778
326,0.9901,0.2998
327,0.7674,0.2605
328,0.8934,0.3116
329,1.0861,0.3418
330,0.8168,0.2726
331,1.0384,0.3196
332,0.8218,0.2762
333,0.7876,0.2320
334,1.7220,0.5039
335,1.1729,0.3655
336,0.8579,0.2627
337,0.7744,0.2499
338,1.5203,0.4397
339,0.7168,0.2431
340,0.8037,0.2390
341,1.6054,0.4641
342,0.8693,0.2513
343,0.9391,0.3328
344,1.1401,0.3640
345,0.6910,0.2217
346,0.7343,0.2231
347,1.9316,0.5472
348,0.7049,0.2173
349,0.7785,0.2294
350,0.9977,0.3130
351,1.1100,0.3455
352,0.9970,0.3154
353,1.2932,0.4242
354,1.0073,0.2780
355,1.2260,0.4135
356,1.4519,0.4936
357,1.6819,0.6445
358,1.4304,0.4440
359,2.5329,0.8529
360,1.7054,0.5435
361,2.6731,0.8954
362,1.3896,0.4406
363,2.4275,0.8234
364,2.8768,0.9983
365,1.2632,0.3851
366,1.1881,0.4278
367,1.2278,0.3995
368,0.8773,0.2916
369,5.0496,1.9388
370,1.1268,0.4276
371,1.0418,0.3649
372,0.9737,0.3533
373,1.0773,0.3962
374,0.9909,0.3494
375,0.7972,0.2650
376,1.7425,0.5773
377,1.0857,0.3796
378,6.0669,2.3921
379,0.8302,0.2451
380,1.1076,0.3475
381,1.2372,0.3900
382,2.0477,0.6427
383,1.0247,0.3724
384,1.4342,0.4971
385,1.0190,0.3008
386,1.0905,0.3542
387,3.6682,1.2312
388,1.1183,0.3530
389,1.3741,0.5100
390,1.3023,0.4788
391,1.4072,0.5348
392,2.7219,0.9334
393,1.6591,0.5096
394,1.9018,0.7531
395,1.6771,0.5889
396,1.5267,0.6362
397,1.4695,0.5553
398,1.4172,0.5874
399,1.2749,0.4746
400,1.3580,0.5629
401,1.1145,0.3985
402,1.0681,0.4031
403,1.0997,0.4154
404,1.1298,0.4343
405,0.9922,0.3392
406,0.9977,0.3572
407,0.9546,0.3503
408,0.9976,0.3827
409,0.9349,0.3475
410,1.0046,0.3717
411,0.7368,0.2712
412,0.8638,0.3312
413,1.0323,0.3745
414,0.8215,0.3115
415,0.9270,0.3319
416,0.8594,0.3160
417,0.8533,0.3123
418,0.8811,0.3079
419,0.9625,0.3622
420,0.8777,0.3218
421,0.8990,0.3274
422,0.8812,0.3211
423,0.9680,0.3602
424,0.8934,0.3399
425,1.0276,0.3796
426,1.0990,0.3982
427,0.8658,0.3117
428,1.1816,0.4379
429,0.8610,0.3252
430,1.2339,0.4701
431,0.8665,0.3377
432,0.8606,0.2951
433,0.9440,0.3499
434,0.8647,0.3194
435,1.0780,0.3909
436,0.8273,0.3124
437,0.9217,0.3371
438,0.8676,0.3211
439,0.8798,0.3189
440,0.8402,0.2931
