Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
144,0.1233,0.0893,0.4473,0.1275,0.5749,1.7965,-0.0532
145,0.1305,0.0881,0.4469,0.1584,0.6052,1.6091,-0.0580
146,0.1305,0.0869,0.4698,0.1454,0.6152,1.7239,-0.0508
147,0.1269,0.0865,0.4764,0.1438,0.6202,1.7356,-0.0520
148,0.1281,0.0866,0.4396,0.1584,0.5980,1.6480,-0.0532
149,0.1281,0.0891,0.4634,0.1503,0.6137,1.7338,-0.0592
150,0.1281,0.0880,0.4936,0.1267,0.6203,1.8321,-0.0471
151,0.1305,0.0901,0.4750,0.1300,0.6050,1.8186,-0.0483
152,0.1366,0.1004,0.4616,0.1569,0.6185,1.7327,-0.0653
153,0.1366,0.0949,0.4902,0.1444,0.6346,1.8627,-0.0520
154,0.1293,0.0914,0.4938,0.0960,0.5898,1.9551,-0.0532
155,0.1269,0.0865,0.4157,0.1679,0.5837,1.5937,-0.0616
156,0.1293,0.0907,0.4937,0.0965,0.5903,1.9123,-0.0544
157,0.1281,0.0907,0.4575,0.1508,0.6082,1.7181,-0.0640
158,0.1293,0.0926,0.4717,0.1098,0.5815,1.8582,-0.0508
159,0.1281,0.0920,0.4262,0.1597,0.5860,1.6790,-0.0604
160,0.1293,0.0958,0.4211,0.1610,0.5821,1.6505,-0.0520
161,0.1257,0.0922,0.4149,0.1598,0.5747,1.6314,-0.0604
162,0.1257,0.0889,0.4488,0.1179,0.5667,1.7885,-0.0592
163,0.1293,0.0979,0.4904,0.1473,0.6377,1.7802,-0.0520
164,0.1305,0.0927,0.4295,0.1268,0.5563,1.7316,-0.0604
165,0.1245,0.0972,0.4359,0.1439,0.5797,1.7594,-0.0459
166,0.1305,0.0957,0.4403,0.1268,0.5671,1.8112,-0.0532
167,0.1341,0.0932,0.4322,0.1189,0.5511,1.8011,-0.0628
168,0.1293,0.0940,0.3837,0.1998,0.5834,1.4977,-0.0677
169,0.1366,0.0976,0.4483,0.0924,0.5407,1.9214,-0.0665
170,0.1293,0.0943,0.4303,0.1204,0.5507,1.8191,-0.0520
171,0.1317,0.0976,0.3837,0.1225,0.5062,1.8250,-0.0544
172,0.1378,0.1036,0.3658,0.1270,0.4929,1.7614,-0.0653
173,0.1390,0.0976,0.3847,0.1843,0.5690,1.6104,-0.0640
174,0.1366,0.1009,0.3999,0.1830,0.5828,1.6692,-0.0508
175,0.1426,0.1047,0.4288,0.1125,0.5413,1.8708,-0.0604
176,0.1511,0.1080,0.3930,0.1441,0.5371,1.7025,-0.0544
177,0.1414,0.1068,0.3999,0.1350,0.5349,1.7324,-0.0616
178,0.1438,0.1041,0.4318,0.0959,0.5276,1.9458,-0.0508
179,0.1390,0.1088,0.3889,0.1710,0.5599,1.6675,-0.0628
180,0.1486,0.1044,0.4478,0.1026,0.5504,1.9334,-0.0737
181,0.1498,0.1166,0.3822,0.1434,0.5256,1.7182,-0.0737
182,0.1426,0.1049,0.4230,0.1119,0.5349,1.8948,-0.0761
183,0.1390,0.1103,0.4405,0.1119,0.5524,1.9410,-0.0568
184,0.1414,0.1025,0.4155,0.1195,0.5350,1.8663,-0.0665
185,0.1486,0.1214,0.3802,0.1148,0.4950,1.9664,-0.0628
186,0.1390,0.1054,0.4067,0.1269,0.5336,1.7863,-0.0701
187,0.1426,0.1033,0.3842,0.1283,0.5124,1.7734,-0.0713
188,0.1486,0.1092,0.4002,0.1387,0.5389,1.8347,-0.0882
189,0.1426,0.1067,0.3783,0.1642,0.5425,1.7279,-0.0568
190,0.1462,0.1071,0.3804,0.1283,0.5087,1.7883,-0.0773
191,0.1486,0.1110,0.3898,0.1439,0.5337,1.8070,-0.0653
192,0.1450,0.1077,0.4274,0.0960,0.5234,1.9556,-0.0532
193,0.1474,0.1121,0.4229,0.0958,0.5187,1.9833,-0.0677
194,0.1462,0.1061,0.3843,0.1429,0.5272,1.8537,-0.0785
195,0.1474,0.1101,0.4071,0.1123,0.5194,1.9152,-0.0677
196,0.1486,0.1060,0.4004,0.1226,0.5229,1.8708,-0.0749
197,0.1450,0.1065,0.3511,0.1450,0.4961,1.6835,-0.0761
198,0.1414,0.1043,0.3788,0.1123,0.4911,1.8197,-0.0471
199,0.1474,0.1117,0.3989,0.1029,0.5018,1.9792,-0.0798
200,0.1474,0.1116,0.3736,0.1282,0.5017,1.8011,-0.0483
201,0.1462,0.1104,0.3831,0.1119,0.4950,1.8945,-0.0798
202,0.1619,0.1170,0.3676,0.1359,0.5035,1.8110,-0.0761
203,0.1450,0.1131,0.3585,0.1444,0.5029,1.7578,-0.0822
204,0.1438,0.1092,0.4002,0.1210,0.5212,1.9665,-0.0822
205,0.1535,0.1270,0.3775,0.1125,0.4901,1.9034,-0.0665
206,0.1486,0.1139,0.3518,0.1439,0.4957,1.7734,-0.0495
207,0.1547,0.1150,0.3818,0.0961,0.4780,1.9045,-0.0761
208,0.1511,0.1171,0.3608,0.1305,0.4913,1.8135,-0.0604
209,0.1607,0.1214,0.3591,0.1439,0.5030,1.8280,-0.0713
210,0.1559,0.1221,0.3824,0.1131,0.4955,1.9472,-0.0846
211,0.1571,0.1221,0.3843,0.1179,0.5022,1.9155,-0.0834
212,0.1523,0.1162,0.3956,0.0970,0.4926,2.0182,-0.0834
213,0.1450,0.1140,0.3677,0.1285,0.4962,1.9266,-0.0520
214,0.1523,0.1187,0.3599,0.1121,0.4720,1.8787,-0.0737
215,0.1559,0.1202,0.3139,0.1120,0.4259,1.8874,-0.0508
216,0.1571,0.1247,0.3360,0.1447,0.4806,1.7430,-0.0435
217,0.1619,0.1223,0.3663,0.1604,0.5266,1.9216,-0.0725
218,0.1559,0.1185,0.3520,0.1378,0.4898,1.8400,-0.0894
219,0.1498,0.1102,0.3533,0.1361,0.4894,1.7835,-0.0834
