Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
132,0.3988,0.3426,0.2956,0.0925,0.3881,3.0785,-0.0785
133,0.5462,0.4600,0.3122,0.0521,0.3643,3.5172,-0.0725
134,0.4785,0.4918,0.2853,0.1199,0.4052,3.0419,-0.0761
135,0.3915,0.2834,0.2950,0.0948,0.3898,3.1726,-0.0749
136,0.5100,0.4750,0.3116,0.0605,0.3721,3.5417,-0.0520
137,0.3770,0.2888,0.2635,0.1221,0.3856,2.8741,-0.0761
138,0.3517,0.3044,0.2792,0.0623,0.3415,2.9327,-0.0628
139,0.4967,0.5700,0.3147,0.0754,0.3901,3.4431,-0.0701
140,0.3686,0.3244,0.2765,0.0677,0.3441,2.9808,-0.0616
141,0.4471,0.4594,0.3101,0.0941,0.4042,3.3868,-0.0725
142,0.3879,0.3209,0.2170,0.0846,0.3015,2.9308,-0.0556
143,0.4423,0.4555,0.2916,0.0764,0.3680,3.3359,-0.0508
144,0.3879,0.3269,0.2901,0.0628,0.3529,3.3520,-0.0725
145,0.4640,0.3544,0.3059,0.0918,0.3977,3.3449,-0.0592
146,0.4145,0.3372,0.2938,0.0315,0.3253,3.3816,-0.0798
147,0.4665,0.4106,0.2648,0.1236,0.3885,2.9655,-0.0640
148,0.4773,0.5011,0.3075,0.0936,0.4011,3.3825,-0.0616
149,0.4000,0.4240,0.2758,0.0693,0.3451,3.2209,-0.0749
150,0.4338,0.3505,0.2790,0.0618,0.3408,3.3113,-0.0689
151,0.4254,0.4196,0.2933,0.0613,0.3546,3.2313,-0.0508
152,0.4000,0.3387,0.2970,0.0932,0.3902,3.2451,-0.0810
153,0.4580,0.3456,0.3091,0.0312,0.3403,3.4701,-0.0483
154,0.4024,0.4144,0.2653,0.0764,0.3417,3.1317,-0.0665
155,0.2634,0.2355,0.2170,0.0946,0.3116,2.4408,-0.0689
156,0.4000,0.3978,0.2796,0.1077,0.3873,2.8828,-0.0568
157,0.3118,0.2182,0.2467,0.0627,0.3094,2.8470,-0.0834
158,0.3069,0.2425,0.2636,0.0933,0.3569,2.9057,-0.0749
159,0.4411,0.3858,0.2950,0.0620,0.3570,3.2767,-0.0532
160,0.3432,0.3051,0.2794,0.0917,0.3710,3.0851,-0.0580
161,0.4471,0.3562,0.2955,0.0919,0.3874,3.1034,-0.0822
