folder,fluid_type,gap,test_type,condition_label,layer,speed_um_s,speed_mm_min,peak_force_N,work_of_adhesion_mJ,peel_distance_mm,peak_retraction_force_N,distance_to_peak_mm,propagation_distance_mm
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,143,3085.59322,185.13559320000002,0.20728264935064905,0.29397059937770564,-2.2501000000000033,0.21116982251082222,-1.5114000000000019,-0.7387000000000015
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,144,3085.59322,185.13559320000002,0.18124073593073567,0.20856785411060588,-2.060600000000001,0.17569549350649327,-1.3491999999999962,-0.7114000000000047
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,155,3591.525424,215.49152544,0.19861960173160145,0.28081675452272686,-2.335799999999999,0.20049781385281357,-1.4196999999999989,-0.9161000000000001
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,156,3591.525424,215.49152544,0.20217203463203434,0.2672692367606062,-2.3338000000000036,0.20140297835497806,-1.529600000000002,-0.8042000000000016
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,157,3591.525424,215.49152544,0.26077376190476154,0.3436990239928575,-2.4211000000000027,0.25979532034631997,-1.6349000000000018,-0.7862000000000009
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,158,3591.525424,215.49152544,0.17925324242424218,0.21230455416082272,-2.0737000000000023,0.17546584415584393,-1.3250000000000028,-0.7486999999999995
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,159,3591.525424,215.49152544,0.22170040259740229,0.2989081344140692,-2.387299999999996,0.2213760606060603,-1.5412999999999997,-0.8459999999999965
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,170,4097.457627,245.84745762,0.2526230649350646,0.31235657451818166,-2.297400000000003,0.2505721428571425,-1.5656000000000034,-0.7317999999999998
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,171,4097.457627,245.84745762,0.2927321818181814,0.3780721103090914,-2.5367999999999995,0.28868839393939355,-1.8717000000000041,-0.6650999999999954
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,172,4097.457627,245.84745762,0.22063802164502133,0.27810198853051976,-2.3555999999999955,0.21754622077922048,-1.5045000000000002,-0.8510999999999953
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,173,4097.457627,245.84745762,0.2304001212121209,0.31772507150757534,-2.493399999999994,0.23243000865800834,-1.677899999999994,-0.8155000000000001
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,174,4097.457627,245.84745762,0.2510957922077919,0.31495867801233773,-2.4050999999999974,0.24991859307359277,-1.6692999999999998,-0.7357999999999976
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,185,4603.389831,276.20338986,0.2678512207792204,0.3660116647201296,-2.4720000000000013,0.26523545454545416,-1.666800000000002,-0.8051999999999992
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,186,4603.389831,276.20338986,0.23488867965367932,0.3119298516525973,-2.3994,0.23095454545454513,-1.6599999999999966,-0.7394000000000034
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,187,4603.389831,276.20338986,0.2696304199134195,0.3349701226402591,-2.4025000000000034,0.2634308225108221,-1.6613000000000042,-0.7411999999999992
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,188,4603.389831,276.20338986,0.25381081818181783,0.3589171785668833,-2.503299999999996,0.25651571428571396,-1.8440999999999974,-0.6591999999999985
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,189,4603.389831,276.20338986,0.23091320346320315,0.3009129651666669,-2.3870000000000005,0.2319333030303027,-1.549900000000001,-0.8370999999999995
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,195,4940.677966,296.44067796,0.26026585281385245,0.3241750885389611,-2.497100000000003,0.25497195670995637,-1.7831000000000046,-0.7139999999999986
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,196,4940.677966,296.44067796,0.26707714285714246,0.3765660046948051,-2.5285999999999973,0.2678252077922074,-1.663499999999999,-0.8650999999999982
